Eviction ID,File Date,Neighborhoods - Analysis Boundaries
546,2003,West of Twin Peaks
36,2010,Golden Gate Park
65,2003,Treasure Island
504,2015,Noe Valley
1068,2008,Outer Richmond
1446,2006,
684,2013,Pacific Heights
1027,1998,Lone Mountain/USF
120,2014,Glen Park
156,2008,Lakeshore
552,2008,Haight Ashbury
26,1999,Japantown
576,2015,Inner Sunset
91,2000,Lakeshore
192,2018,Potrero Hill
377,2002,North Beach
120,2017,Glen Park
348,2014,West of Twin Peaks
336,2008,Oceanview/Merced/Ingleside
76,2023,Outer Mission
520,2004,Pacific Heights
60,2021,Japantown
89,2006,Treasure Island
204,2020,Pacific Heights
600,2012,Castro/Upper Market
104,2004,Financial District/South Beach
633,2006,North Beach
754,2000,North Beach
516,2011,Bernal Heights
650,1999,Outer Mission
540,2018,South of Market
216,2022,Chinatown
384,2016,Chinatown
1488,2013,South of Market
1020,2014,Lakeshore
1118,2000,Tenderloin
1742,1998,Noe Valley
732,2014,Russian Hill
240,2010,North Beach
168,2020,Outer Mission
104,1998,Seacliff
644,2023,
576,2016,Outer Mission
228,2022,Lone Mountain/USF
1079,1997,Nob Hill
1144,2000,Pacific Heights
715,1999,Western Addition
65,2005,Seacliff
16,2023,Lone Mountain/USF
552,2014,Western Addition
168,2013,Presidio Heights
1257,2002,Castro/Upper Market
324,2012,Western Addition
416,1999,Portola
208,1998,Financial District/South Beach
481,2004,Excelsior
2135,2016,
96,2020,Lone Mountain/USF
36,2013,McLaren Park
1950,1998,Castro/Upper Market
12,2019,Japantown
432,2017,Lone Mountain/USF
168,2015,Presidio Heights
182,2005,Visitacion Valley
120,2016,Japantown
65,1999,Seacliff
741,2005,Pacific Heights
372,2014,Chinatown
211,2023,Sunset/Parkside
408,2012,Inner Sunset
338,2005,West of Twin Peaks
84,2007,Japantown
384,2011,Inner Sunset
622,2006,Hayes Valley
845,2003,Nob Hill
276,2018,Visitacion Valley
324,2022,Inner Sunset
756,2009,Inner Sunset
1157,1999,North Beach
756,2018,Nob Hill
180,2021,Bernal Heights
864,2015,Hayes Valley
468,2017,Haight Ashbury
864,2012,Tenderloin
372,2016,Lone Mountain/USF
82,2022,Visitacion Valley
12,2008,Treasure Island
336,2019,South of Market
91,2001,Lakeshore
13,2000,Presidio
576,2015,Inner Richmond
192,2021,Pacific Heights
442,2005,Inner Richmond
492,2016,Noe Valley
768,2018,Bayview Hunters Point
588,2017,Castro/Upper Market
1183,1998,Pacific Heights
228,2022,Pacific Heights
168,2022,West of Twin Peaks
84,2023,Castro/Upper Market
432,2020,Bayview Hunters Point
351,2004,Treasure Island
168,2021,Outer Mission
384,2015,Portola
546,2005,Hayes Valley
204,2022,Potrero Hill
732,2015,Nob Hill
516,2016,Haight Ashbury
36,2008,McLaren Park
533,1997,South of Market
192,2020,North Beach
12,2021,Seacliff
702,1997,Excelsior
728,2001,Russian Hill
780,2013,Excelsior
611,2004,Haight Ashbury
636,2017,Outer Mission
552,2007,Castro/Upper Market
143,2001,Glen Park
564,2011,Outer Richmond
245,2022,Marina
636,2013,Bernal Heights
300,2019,Inner Sunset
1195,2009,
780,1999,South of Market
1395,2008,
1060,2021,
1344,2014,Tenderloin
234,2004,Presidio Heights
2160,2015,Mission
132,2019,Chinatown
84,2021,Golden Gate Park
572,1997,Western Addition
168,2013,Visitacion Valley
819,2005,Haight Ashbury
580,2006,Pacific Heights
108,2014,Seacliff
492,2008,Nob Hill
1261,2000,Bernal Heights
276,2017,Presidio Heights
13,2005,Presidio
324,2009,Portola
84,2014,Financial District/South Beach
936,2013,Castro/Upper Market
104,1997,Financial District/South Beach
120,2022,Noe Valley
696,2010,Sunset/Parkside
192,2014,Presidio Heights
48,2016,Seacliff
806,1998,Oceanview/Merced/Ingleside
252,2007,Chinatown
1356,2009,Tenderloin
1884,2018,Mission
360,2019,Pacific Heights
132,2010,Potrero Hill
420,2014,Outer Mission
1105,1999,Tenderloin
240,2011,Oceanview/Merced/Ingleside
684,2022,Outer Richmond
702,2001,Oceanview/Merced/Ingleside
36,2019,McLaren Park
276,2012,Portola
300,2011,Potrero Hill
975,2004,Outer Richmond
420,2019,Castro/Upper Market
897,2002,Haight Ashbury
2172,2022,Financial District/South Beach
528,2018,Inner Richmond
492,2017,Inner Sunset
24,2016,McLaren Park
444,2014,Potrero Hill
408,2009,Noe Valley
480,2013,Oceanview/Merced/Ingleside
192,2020,Chinatown
58,2023,Inner Sunset
360,2019,Oceanview/Merced/Ingleside
204,2021,Excelsior
408,2015,Potrero Hill
120,2011,Presidio Heights
684,2019,Nob Hill
168,2022,Russian Hill
348,2022,Mission Bay
168,2020,Noe Valley
264,2012,Oceanview/Merced/Ingleside
910,2005,South of Market
793,2000,Lone Mountain/USF
96,2020,Haight Ashbury
516,2009,Hayes Valley
169,1997,Chinatown
111,2006,Visitacion Valley
444,2008,Pacific Heights
156,2009,Marina
336,2021,Western Addition
564,2017,Bernal Heights
759,2006,Nob Hill
1352,1999,Haight Ashbury
636,2013,Bayview Hunters Point
756,2011,Sunset/Parkside
1547,1997,Haight Ashbury
78,2002,Japantown
744,2015,Pacific Heights
564,2010,Bayview Hunters Point
208,2003,Western Addition
897,1998,Nob Hill
442,2004,Lone Mountain/USF
240,2009,Inner Richmond
360,2012,Potrero Hill
507,2006,Bernal Heights
1131,2003,Castro/Upper Market
288,2022,Oceanview/Merced/Ingleside
696,2022,Sunset/Parkside
39,2003,Seacliff
273,1999,Chinatown
1157,1998,Lakeshore
585,2004,Hayes Valley
24,2013,Japantown
65,2003,Golden Gate Park
492,2017,Marina
858,2006,Outer Richmond
468,2018,Noe Valley
828,2016,South of Market
442,1997,Outer Mission
192,2012,Visitacion Valley
988,1998,North Beach
12,2022,Presidio
377,2003,South of Market
228,2010,Western Addition
36,2015,Glen Park
48,2020,Visitacion Valley
2907,1998,
504,2021,Hayes Valley
624,2019,Russian Hill
432,2012,Inner Richmond
144,2020,Western Addition
585,2003,Marina
204,2011,Western Addition
286,2000,Chinatown
1044,2013,North Beach
180,2021,Inner Richmond
195,2004,Portola
420,2012,Hayes Valley
456,2016,Western Addition
1512,2017,Sunset/Parkside
663,2003,Bernal Heights
975,2001,Bayview Hunters Point
384,2020,Nob Hill
156,2007,Potrero Hill
420,2018,Russian Hill
540,2007,South of Market
377,1998,Visitacion Valley
276,2011,Glen Park
1879,2013,
132,2009,Visitacion Valley
432,2017,Hayes Valley
216,2007,Western Addition
12,2017,Treasure Island
143,2002,Financial District/South Beach
221,2003,Visitacion Valley
588,2016,Castro/Upper Market
204,2021,Haight Ashbury
1284,2020,Mission
845,2001,Marina
108,2012,Lakeshore
558,2000,Visitacion Valley
348,2012,North Beach
600,2015,South of Market
780,2009,Sunset/Parkside
228,2012,Outer Mission
884,2000,Oceanview/Merced/Ingleside
806,1998,Bayview Hunters Point
588,2010,Marina
2064,2010,Lakeshore
372,2020,Hayes Valley
12,2021,McLaren Park
533,1999,Presidio Heights
168,2014,Golden Gate Park
48,2009,Glen Park
564,2021,Nob Hill
624,2004,Bernal Heights
504,2007,Pacific Heights
240,2019,Western Addition
312,2008,Potrero Hill
132,2008,Visitacion Valley
84,2012,Glen Park
1320,2013,Sunset/Parkside
444,2013,Lone Mountain/USF
60,2019,Potrero Hill
396,2010,Hayes Valley
240,2010,Twin Peaks
36,2020,Twin Peaks
89,2023,West of Twin Peaks
650,2003,Inner Sunset
351,2001,Potrero Hill
384,2016,West of Twin Peaks
576,2011,Noe Valley
442,2001,Presidio Heights
492,2012,Bernal Heights
260,2000,Glen Park
390,2003,Lone Mountain/USF
378,2006,Excelsior
372,2012,Noe Valley
732,2014,Bayview Hunters Point
1196,1997,Noe Valley
228,2013,Potrero Hill
276,2019,West of Twin Peaks
32,2023,Visitacion Valley
504,2018,Hayes Valley
1152,2017,Lakeshore
156,2009,West of Twin Peaks
384,2013,Western Addition
480,2019,Haight Ashbury
962,1998,Potrero Hill
180,2008,Chinatown
3354,2000,Mission
260,1999,Visitacion Valley
156,2013,Chinatown
1833,1998,Outer Richmond
109,2006,Glen Park
2127,2015,
377,2004,West of Twin Peaks
1625,1999,Outer Richmond
276,2010,Lone Mountain/USF
204,2012,Chinatown
156,2007,West of Twin Peaks
312,2017,Chinatown
48,2011,Seacliff
182,2001,Twin Peaks
1200,2007,Sunset/Parkside
288,2008,Noe Valley
600,2021,Sunset/Parkside
754,2002,Excelsior
132,2012,Presidio Heights
360,2019,North Beach
564,2017,South of Market
48,2006,Japantown
408,2011,Pacific Heights
72,2018,Glen Park
572,2005,Inner Sunset
1118,1999,Bayview Hunters Point
442,2004,Inner Sunset
260,2000,Financial District/South Beach
1374,2006,Castro/Upper Market
732,2012,Marina
351,2003,Outer Mission
420,2011,Chinatown
2691,1998,Sunset/Parkside
637,2001,West of Twin Peaks
612,2013,West of Twin Peaks
13,2000,Mission Bay
936,1997,Lakeshore
768,2012,Nob Hill
2630,1999,
1521,2001,Castro/Upper Market
624,2008,Excelsior
396,2009,Pacific Heights
2275,2002,Mission
108,2009,Lakeshore
492,2015,Lone Mountain/USF
52,2005,Treasure Island
24,2017,Japantown
120,2020,Inner Sunset
728,2002,Inner Sunset
780,2007,Outer Richmond
2774,1997,
2164,2016,Mission
91,2004,Lakeshore
2244,2018,Lakeshore
12,2014,Lincoln Park
72,2019,Glen Park
1428,2012,Sunset/Parkside
2064,2007,Tenderloin
384,2008,Russian Hill
48,2011,Japantown
708,2007,Nob Hill
1676,2002,
988,1998,Excelsior
180,2012,Twin Peaks
552,2007,Inner Richmond
288,2020,Castro/Upper Market
403,2005,Excelsior
286,2005,Western Addition
264,2022,Bernal Heights
1128,2019,Tenderloin
